District,Total_Area_2017_km2,Trees_2017_km2,Trees_2017_pct,Flooded_Veg_2017_km2,Flooded_Veg_2017_pct,Crops_2017_km2,Crops_2017_pct,Built_Area_2017_km2,Built_Area_2017_pct,Bare_Ground_2017_km2,Bare_Ground_2017_pct,Water_2017_km2,Water_2017_pct
Ahmadnagar,16607.390900000002,118.9119,0.7160179507787704,0.4153,0.0025006938326477277,13533.117600000001,81.4885232815228,637.171,3.836671297958068,0.6189,0.0037266540164355376,2317.1562,13.952560121891272
Akola,5376.0196000000005,39.9362,0.7428581547582155,0.0432,0.0008035684988946097,4754.156800000001,88.43265377975928,152.52100000000002,2.8370618291644623,0.2791,0.005191573334293647,429.0833,7.981431094484849
Amravati,12077.1571,1323.6498000000001,10.959945201010923,7.173100000000001,0.059393944622944415,8006.4024,66.29376709855003,254.3554,2.1060867047924714,0.4167,0.003450315306406008,2485.1597,20.577356735717217
Aurangabad,9886.3588,22.726300000000002,0.22987533084475953,0.8401000000000001,0.008497567375361694,8401.5993,84.98173564163987,334.06260000000003,3.3790256530038136,0.3155,0.0031912659289687114,1126.815,11.397674541207223
Bhandara,3776.5307000000003,896.4006,23.736086668115792,8.989,0.23802269103757054,1655.5552,43.83799130773649,147.6484,3.9096306035589756,24.678,0.6534568883552303,1043.2595000000001,27.62481184119594
Bid,10782.0136,31.352,0.2907805644021818,1.8591000000000002,0.017242604850730293,9406.3483,87.2411095827221,260.6994,2.4179101387889177,0.8065,0.0074800499231423715,1080.9483,10.025477059312928
Buldana,9647.5318,63.410900000000005,0.6572758848019553,0.049800000000000004,0.0005161942042004982,8146.0055,84.43616117440526,227.0199,2.3531396911280456,0.1447,0.0014998654889118895,1210.901,12.551407189971636
Chandrapur,11121.4146,3227.8267,29.023526377660623,5.0342,0.04526582436734262,4909.8036,44.14729399621519,224.6413,2.0198986197313427,37.8052,0.33993157668989343,2716.3036,24.424083605335603
Dhule,7080.8141000000005,29.6372,0.41855639170077913,0.0703,0.0009928236924056516,5356.1942,75.64376248770603,188.26500000000001,2.658804444534139,0.3846,0.005431578834981701,1506.2628,21.272452273531655
Garhchiroli,14349.638200000001,9448.2747,65.84329561702818,3.4457,0.024012452104890003,1823.0553,12.704538432195452,113.7564,0.7927475133136109,48.658500000000004,0.33909217306956213,2912.4476,20.296313812288314
Gondiya,5372.83,2053.4051,38.21831511512555,14.7255,0.2740734398817755,1177.6049,21.917777037427204,177.8964,3.3110372001347517,2.9747000000000003,0.055365608068745895,1946.2234,36.22343159936198
Hingoli,4607.0891,22.3402,0.4849092239175491,0.1945,0.004221754686706624,3826.052,83.04705893358998,83.1273,1.8043345417391645,0.0413,0.0008964445684369334,675.3338,14.658579101498168
Jalgaon,11557.0556,150.4923,1.3021681750843181,7.046200000000001,0.06096881631338695,9129.9902,78.99927555942537,349.6678,3.0255785911421937,0.9233,0.007989059081795886,1918.9358000000002,16.604019798952944
Jalna,7639.0661,2.5012000000000003,0.03274222224625076,0.272,0.003560644670950026,7376.2938,96.56015150857249,161.70010000000002,2.1167522035186996,0.008400000000000001,0.00010996108542639786,98.2906,1.286683459906179
Kolhapur,7466.7199,1839.3447,24.63390517702425,0.0263,0.00035222963164856366,3721.4545000000003,49.840553145699225,392.254,5.2533643320409,7.3486,0.09841804833203935,1506.2918,20.17340706727194
Latur,6575.1524,9.8449,0.14972884887048396,0.004,6.083509182235837e-05,6178.1589,93.96221599365514,193.8937,2.9488852608192015,0.0112,0.00017033825710260342,193.2397,2.9389387233062463
Mumbai,66.2536,2.1590000000000003,3.2586908484972894,0.9289000000000001,1.4020370213844984,0.773,1.166729053213712,60.8459,91.83787748892136,0.1495,0.2256481157250323,1.3973,2.1090174722581114
Mumbai Suburban,384.0994,108.0887,28.140814591223002,20.682000000000002,5.384543688430651,14.829400000000001,3.8608235264100905,215.0551,55.989439192042475,1.2434,0.32371828750578624,24.2008,6.300660714387994
Nagpur,9700.026100000001,1504.6773,15.512095374671208,24.700100000000003,0.254639521021495,6322.7324,65.18263285910128,486.01430000000005,5.010443219322884,10.678700000000001,0.11008939450173232,1351.2233,13.930099631381404
Nanded,10369.7031,325.3299,3.137311616954588,0.43260000000000004,0.004171768427969746,7266.6701,70.07597064182099,256.8859,2.477273433219125,1.0433000000000001,0.010061040223996384,2519.3413,24.295211499353343
Nandurbar,5773.9186,58.562000000000005,1.0142505299607099,0.0021000000000000003,3.637044692663315e-05,3464.4216,60.00121996870548,126.9611,2.1988723568080784,0.2576,0.0044614414896670005,2123.7142,36.781159332589134
Nashik,15183.5833,329.72090000000003,2.171561834155446,1.5509000000000002,0.010214321411204692,10738.0183,70.7212394323282,608.7697000000001,4.0093941461104246,1.4949000000000001,0.009845502016641881,3504.0286,23.077744763978078
Osmanabad,7339.0996000000005,1.1344,0.015456936979026692,1.3584,0.01850908250379924,6961.8027,94.8590846212252,146.81220000000002,2.000411603625055,0.050100000000000006,0.0006826450481745745,227.9418,3.105855110618747
Parbhani,6239.79,13.3528,0.21399438122116288,0.2561,0.004104304792308716,5766.3795,92.41303793877678,135.58950000000002,2.1729817830407754,0.508,0.008141299627070784,323.70410000000004,5.187740292541896
Pune,14999.7564,1147.5516,7.650468243604276,1.7144000000000001,0.011429518948721061,9478.733,63.19257958082572,1313.2186000000002,8.754932846776098,6.844600000000001,0.04563140772072805,3051.6942000000004,20.34495840212445
Raigarh,6710.6149000000005,2550.5864,38.00823677126816,77.9966,1.1622869314107116,1014.8678000000001,15.123320517170491,322.73060000000004,4.809255259156654,3.0689,0.045732023752398605,2741.3646000000003,40.85116849724159
Ratnagiri,8093.3494,4010.8838,49.55777394214563,4.9855,0.06159996008574645,137.4719,1.6985785884889637,191.2204,2.3626855897263006,0.3271,0.0040415899998089795,3748.4607,46.31532032955354
Sangli,8439.902900000001,120.86630000000001,1.4320816416027724,0.001,1.1848477545873187e-05,7256.114500000001,85.97390972353485,310.8893,3.683564890302233,0.6202000000000001,0.007348425773950551,751.4116,8.903083470308646
Satara,10224.622800000001,898.8078,8.790620618298018,0.1298,0.0012694844840633144,6394.971100000001,62.54481192205936,488.05030000000005,4.773284154795422,3.3874,0.03312982851553213,2439.2764,23.856883991847603
Sindhudurg,4967.9296,2999.5907,60.37909031561156,3.6994000000000002,0.07446562849843927,201.3835,4.053670567312387,82.04050000000001,1.651402225989676,0.9041,0.018198728097918296,1680.3114,33.82317253449002
Solapur,14577.7085,3.0068,0.02062601265486959,0.4111,0.002820059133436507,13949.7638,95.69243204444649,371.5994,2.5490933640221987,0.3776,0.0025902562120788735,252.5498,1.7324382635309246
Thane,9067.738500000001,2416.277,26.64696384881412,35.620000000000005,0.39282120894862593,2103.0593,23.192765208215917,642.2776,7.083106774638462,3.0196,0.03330047508538099,3867.485,42.65104248429749
Wardha,6211.5958,196.16080000000002,3.1579775361429667,9.0539,0.14575803531839596,4791.8194,77.14312962862137,140.1245,2.2558534797128944,0.1085,0.0017467331019832292,1074.3287,17.2955345871024
