District,Total_Area_2024_km2,Trees_2024_km2,Trees_2024_pct,Flooded_Veg_2024_km2,Flooded_Veg_2024_pct,Crops_2024_km2,Crops_2024_pct,Built_Area_2024_km2,Built_Area_2024_pct,Bare_Ground_2024_km2,Bare_Ground_2024_pct,Water_2024_km2,Water_2024_pct
Ahmadnagar,16735.5911,111.2502,0.6647521401260814,0.0001,5.975289393871483e-07,12472.962000000001,74.52955754876204,1309.1661000000001,7.8226463121460945,0.7556,0.004514928666009293,2841.4571,16.978528472770822
Akola,5351.1982,12.901100000000001,0.24108806136165914,0.7637,0.014271570056964064,4575.9366,85.51237365866957,189.7427,3.545798397076752,0.11810000000000001,0.0022069823539707426,571.736,10.684261330481087
Amravati,12042.3129,636.2312000000001,5.283297363914203,8.1456,0.0676414910295181,7906.0816,65.6525176322233,334.5468,2.778094231383076,0.2707,0.002247907044501393,3157.0370000000003,26.21620137440541
Aurangabad,9932.6963,13.405600000000002,0.13496436008015267,0.0334,0.00033626317558908955,8153.4947,82.08742574762907,557.8821,5.616622950608084,0.2842,0.002861257320431714,1207.5963000000002,12.157789421186672
Bhandara,3727.6235,788.7073,21.158448539666093,14.4974,0.3889180331650983,2116.2467,56.77200768800819,204.8159,5.494543641545343,12.6417,0.33913564500277454,590.7145,15.846946452612503
Bid,10911.8495,6.6549000000000005,0.0609878279571213,0.0,0.0,9028.5833,82.7410907747582,446.68280000000004,4.093557192114865,0.7200000000000001,0.006598331474421453,1429.2085,13.09776587369538
Buldana,9638.355300000001,27.6966,0.2873581553898516,0.0027,2.8013078123401405e-05,8069.072,83.71834974790772,318.87530000000004,3.308399515008541,0.09380000000000001,0.0009731950844352045,1222.6149,12.684891373531332
Chandrapur,11096.1073,2591.3621000000003,23.353794532971037,4.7548,0.042851063633820484,5158.4256000000005,46.48860596364276,304.0294,2.7399644918718478,18.970200000000002,0.17096265822880066,3018.5652,27.20382128965173
Dhule,7099.868,7.0606,0.09944691929483761,0.15430000000000002,0.0021732798412590205,5194.0789,73.15740095449662,257.5595,3.627666035481223,0.7609,0.010717100655955858,1640.2538000000002,23.102595710230105
Garhchiroli,14351.6268,8129.710800000001,56.64661514191548,0.5915,0.004121483983962013,2106.397,14.677060861142236,166.46720000000002,1.1599186790448035,29.7377,0.20720786858811016,3918.7226,27.305075965325408
Gondiya,5318.3577000000005,1770.4763,33.2899063934718,8.286,0.15579997562029346,2006.6057,37.729799558235804,261.1299,4.9099724901918504,2.0209,0.03799857237883793,1269.8389,23.87652301010141
Hingoli,4578.406300000001,4.7885,0.10458879545050426,0.0746,0.0016293879378944589,3888.6152,84.93381638060387,113.1862,2.47217465169048,0.012100000000000001,0.0002642841025271173,571.7297,12.487526500214715
Jalgaon,11511.188900000001,51.9525,0.45132175704283684,8.0578,0.0699997200115446,9016.0812,78.3245004345294,450.41560000000004,3.9128503920216264,4.1284,0.03586423640393913,1980.5534,17.205463459990654
